"","nameurl","col_games","col_minutes"
"1","john-salmons-1","124","3819"
"2",NA,NA,NA
"3",NA,NA,NA
"4","casey-jacobsen-1","95","3021"
"5",NA,NA,NA
"6","kareem-rush-1","84","2536"
"7","jannero-pargo-1","60","1530"
"8",NA,NA,NA
"9",NA,NA,NA
"10","drew-gooden-1","98","2567"
"11","frank-williams-1","101","3201"
"12",NA,NA,NA
"13","fred-jones-1","125","3525"
"14","tayshaun-prince-1","135","4023"
"15","dan-gadzuric-1","122","2940"
"16","jared-jeffries-1","70","2282"
"17","juan-dixon-1","141","4004"
"18","roger-mason-1","89","2634"
"19","lonny-baxter-1","138","3367"
"20",NA,NA,NA
"21",NA,NA,NA
"22","mike-dunleavy-1","111","3762"
"23","carlos-boozer-1","101","2615"
"24",NA,NA,NA
"25","chris-wilcox-1","70","1162"
"26",NA,NA,NA
"27","mike-wilks-1","117","3767"
"28",NA,NA,NA
"29",NA,NA,NA
"30","melvin-ely-1","124","4030"
"31","chris-jefferies-1","88","2464"
"32","marcus-haislip-1","89","1521"
"33",NA,NA,NA
"34","tamar-slay-1","114","3283"
"35","caron-butler-1","63","2173"
"36","devin-brown-1","105","3360"
"37","dan-dickau-1","97","3113"
"38","sean-lampley-1","123","3948"
"39","jamal-sampson-1","32","796"
"40","robert-archibald-1","130","2106"
"41","rasual-butler-1","110","4213"
"42","dajuan-wagner-1","36","1144"
"43","paul-shirley-1","109","2452"
"44","ryan-humphrey-1","123","3776"
"45",NA,NA,NA
"46",NA,NA,NA
"47","francisco-garcia-1","98","2753"
"48","smush-parker-1","28","980"
"49","pat-burke-1","120","2724"
"50",NA,NA,NA
"51","john-lucas-1","110",NA
"52","maceo-baston-1","126","2822"
"53","pj-tucker-1","87","2514"
"54","jj-redick-1","139","4726"
"55","louis-amundson-1","120","2352"
"56",NA,NA,NA
"57",NA,NA,NA
"58","dj-strawberry-1","111","2985"
"59","cj-watson-1","119","4057"
"60","guillermo-diaz-1","93","3031"
"61","dj-white-1","99","3029"
"62",NA,NA,NA
"63",NA,NA,NA
"64","jj-hickson-1","31","889"
"65",NA,NA,NA
"66",NA,NA,NA
"67",NA,NA,NA
"68","dj-stephens-1","129","1702"
"69","kj-mcdaniels-1","94","2284"
"70","lou-williams-1","5",NA
"71","pj-hairston-1","71","1285"
"72","tj-warren-1","70","2184"
"73","cj-wilcox-1","131","3733"
"74",NA,NA,NA
"75",NA,NA,NA
"76",NA,NA,NA
"77","rj-hunter-1","99","3435"
"78",NA,NA,NA
"79",NA,NA,NA
"80",NA,NA,NA
"81","jakob-poeltl-1","70","1883"
"82","aj-hammons-1","132","3207"
"83",NA,NA,NA
"84","tj-leaf-1","35","1046"
"85","bj-johnson-1","29","142"
